Timestamp,ID,Universidad,Edad,Sexo,Viajo,Grado,Trabajo_Actual,Perfil_Pretendido,2Dias,2anios,Estudio_Grado,Programacion,Financiacion,Horas_Trabajo,Referencias,Ingreso,Org,Acceso,Hijos,Propietario,Valor_Cuota,Que_Busca,Exigencia,Actual_DS,Charlas
9/14/2021 20:54:09,30743524,UBA,35 a 39,Femenino,No,Universidad Privada distinta a Austral,Academico,Academico,"No, solo hasta dos dias","No, puede que no",Economia,300 a 1000 horas,"Mi empleador paga parcialmente, el resto lo cubro yo",40 a 50,Solo UBA,Si,Si,"Austral,  Cerrito y Juncal,  Capital Federal",0,Propietario,Si,Ambos,Medio,No,UBA
9/14/2021 21:34:26,31,UBA,35 a 39,Femenino,No,UBA,Academico,Tecnico,"Si, estoy dipuesto a cursar 3 dias","No, puede que no",Exactas,300 a 1000 horas,100% de mi bolsillo,40 a 50,Ninguna,Si,No,"Ciudad Universitaria, Capital Federal",1,Propietario,Si,Conocimiento,Alto,No,ninguna
9/14/2021 23:18:57,1995,Austral,menor a 30,Masculino,No,Universidad Publica distinta a UBA,Negocios,Negocios,"No, solo hasta dos dias",Si,Economia,0 a 299 horas,100% de mi bolsillo,40 a 50,Solo Austral,Si,No,"Austral,  Cerrito y Juncal,  Capital Federal",0,Propietario,Si,Ambos,Medio,Si,ninguna
9/14/2021 23:31:59,51882065,Austral,menor a 30,Femenino,Sí,Universidad Publica distinta a UBA,Tecnico,Negocios,"Si, estoy dipuesto a cursar 3 dias",Si,otro,0 a 299 horas,100% de mi bolsillo,mas de 50 horas,Ninguna,No,Si,"Austral,  Cerrito y Juncal,  Capital Federal",0,Inquilino,No,Ambos,Medio,No,Austral
9/14/2021 23:47:59,19840926,Austral,35 a 39,Masculino,No,Universidad Publica distinta a UBA,Negocios,Negocios,"No, solo hasta dos dias",Si,Otras ingenierias,mas de 1000 horas,100% de mi bolsillo,40 a 50,Ambas,Si,Si,"Austral,  Cerrito y Juncal,  Capital Federal",0,Propietario,Si,Ambos,Medio,No,ambas
9/15/2021 7:02:59,1480,Austral,40 a 44,Masculino,No,Austral,Tecnico,Academico,"Si, estoy dipuesto a cursar 3 dias",Si,Otras ingenierias,0 a 299 horas,"Mi empleador paga parcialmente, el resto lo cubro yo",40 a 50,Solo Austral,No,Si,"Austral,  Cerrito y Juncal,  Capital Federal",3,Propietario,Si,Ambos,Medio,No,ambas
9/15/2021 7:05:45,1480,Austral,40 a 44,Masculino,No,Austral,Tecnico,Academico,"Si, estoy dipuesto a cursar 3 dias",Si,Otras ingenierias,0 a 299 horas,"Beca parcial de la Universidad, el resto lo cubro yo",40 a 50,Ninguna,No,Si,"Austral,  Cerrito y Juncal,  Capital Federal",3,Propietario,Si,Ambos,Medio,No,Austral
9/15/2021 8:16:07,17032,Austral,30 a 34,Femenino,No,Universidad Publica distinta a UBA,Tecnico,Tecnico,"No, solo hasta dos dias",Si,Otras ingenierias,0 a 299 horas,"Mi empleador paga parcialmente, el resto lo cubro yo",mas de 50 horas,Ninguna,No,No,"Austral,  Cerrito y Juncal,  Capital Federal",0,Inquilino,No,Ambos,Medio,Si,ninguna
9/15/2021 8:46:57,890713,Austral,35 a 39,Femenino,No,UBA,Tecnico,Tecnico,"No, solo hasta dos dias",Si,Exactas,0 a 299 horas,100% de mi bolsillo,40 a 50,Ambas,No,Si,"Austral,  Cerrito y Juncal,  Capital Federal",1,Propietario,No,Ambos,Alto,Si,ninguna
9/15/2021 8:52:26,30170249,Austral,45 y mas,Masculino,No,Universidad Privada distinta a Austral,Tecnico,Tecnico,"No, solo hasta dos dias",Si,Otras ingenierias,mas de 1000 horas,100% de mi bolsillo,40 a 50,Ninguna,Si,Si,"Austral,  Cerrito y Juncal,  Capital Federal",1,Propietario,No,Ambos,Alto,No,ninguna
9/15/2021 10:07:30,20841779,Austral,menor a 30,Masculino,No,Universidad Publica distinta a UBA,Negocios,Tecnico,"No, solo hasta dos dias",Si,Economia,300 a 1000 horas,100% de mi bolsillo,40 a 50,Ninguna,Si,Si,"Austral,  Cerrito y Juncal,  Capital Federal",0,Inquilino,Si,Ambos,Medio,Si,Austral
9/15/2021 10:16:11,32358469,Austral,30 a 34,Femenino,No,Universidad Privada distinta a Austral,Negocios,Negocios,"No, solo hasta dos dias",Si,otras Ciencias Sociales,0 a 299 horas,Mi empleador me cubre el 100%,40 a 50,Solo Austral,No,Si,"Austral,  Cerrito y Juncal,  Capital Federal",0,Propietario,No,Ambos,Medio,No,Austral
9/15/2021 10:34:01,1.11E+166,Austral,35 a 39,Masculino,No,Universidad Privada distinta a Austral,Negocios,Tecnico,"No, solo hasta dos dias",Si,Economia,0 a 299 horas,"Mi empleador paga parcialmente, el resto lo cubro yo",40 a 50,Ninguna,Si,Si,"Ciudad Universitaria, Capital Federal",0,Propietario,Si,Ambos,Alto,No,ambas
9/15/2021 11:06:09,309577,Austral,menor a 30,Masculino,No,Universidad Publica distinta a UBA,Tecnico,Negocios,"Si, estoy dipuesto a cursar 3 dias",Si,otras Ciencias Sociales,0 a 299 horas,"Beca parcial de la Universidad, el resto lo cubro yo",De 20 a 39,Ninguna,Si,No,"Austral,  Cerrito y Juncal,  Capital Federal",0,Inquilino,Si,Ambos,Medio,No,Austral
